Filename;fort_fight_vincent.wav
Original text;Just the three of you are going to be holding the fort tonight. He fought many battles with the early Labor party in Lancaster and discrimination against socialist employees was alleged.
Recognized text;just the three of you are going to be holding the fort tonight he fought many battles for the early Labour party in Lancaster and discrimination against socialist employees was alleged
Confidence;92.20%
Time needed (seconds);3.80
Real time factor;0.31
Word correct rate;0.94
Word error rate;0.06
Recall;0.94
Precision;0.94
F-Score;0.94
