Filename;polling_ronald.wav
Original text;The important difference between the pend operation and simply polling the mailbox location is that the pending task is suspended while waiting for data to appear. Thus no CPU time is wasted for polling the mailbox.
Recognized text;the important difference between the pain operation and Sibley pulling the mailbox location is that the pending tasks is suspended while waiting for the data to appear the snow CPU time is wasted for pulling the mailbox
Confidence;87.76%
Time needed (seconds);3.22
Real time factor;0.22
Word correct rate;0.53
Word error rate;0.47
Recall;0.86
Precision;0.84
F-Score;0.85
